odds,matchStatsUrl,opponent
$1.687,,Stanislas Wawrinka
$3.738,,Novak Djokovic
$1.292,,Jo-Wilfried Tsonga
$1.079,,Lukas Rosol
$1.129,,Radek Stepanek
$1.011,,Andrey Golubev
$1.019,,Mikhail Kukushkin
$1.177,,Kei Nishikori
$1.160,,Richard Gasquet
$1.021,,Thiemo de Bakker
$1.091,,Ivo Karlovic
$2.610,,Novak Djokovic
$1.340,,Alexandr Dolgopolov
$1.212,,Kevin Anderson
$1.214,,Tommy Haas
$1.069,,Dmitry Tursunov
$1.043,,Paul-Henri Mathieu
$1.719,,Tomas Berdych
$4.960,,Novak Djokovic
$1.116,,Lukas Rosol
$1.068,,Radek Stepanek
$1.049,,Benjamin Becker
$1.014,,Ilija Bozoljac
$2.424,,Rafael Nadal
$1.724,,Andy Murray
$1.554,,Jo-Wilfried Tsonga
$1.021,,Teymuraz Gabashvili
$1.030,,Blaz Kavcic
$1.020,,James Duckworth
$1.174,,Lleyton Hewitt
$1.082,,Jeremy Chardy
$1.085,,Marinko Matosevic
$1.152,,Jarkko Nieminen
$3.693,,Rafael Nadal
$2.086,,Juan Martin del Potro
$1.345,,Richard Gasquet
$4.032,,Novak Djokovic
$3.964,,Novak Djokovic
$1.948,,Juan Martin del Potro
$1.248,,Philipp Kohlschreiber
$1.176,,Kevin Anderson
$2.207,,Juan Martin del Potro
$1.164,,Vasek Pospisil
$1.464,,Grigor Dimitrov
$1.116,,Denis Istomin
$1.040,,Adrian Mannarino
$1.325,,Gael Monfils
$1.182,,Andreas Seppi
$1.052,,Tommy Robredo
$1.021,,Adrian Mannarino
